HOLE_ID,X_MGA,Y_MGA,Z_MGA,DEPTH,DATASET,PRE_COLLAR,RC_DEPTH,GRID_NAME,START_DATE,FINISH_DAT,PROSPECT,LOCATION,COLLAR_COM,HOLE_TYPE,HOLE_SIZE,HOLE_PURPO,TENMENT_ID,NATIVE_TIT,LOCATION_S,CONTRACTOR,COMPANY,PROGRAM_NA,GEOLOGIST,LOGGED_BY,DRILLING_S,EQUIPMENT_,GROUTED,MINING_LEV,PLANNED_DE,PLANNED_AZ,PLANNED_DI,TENEMENT_I
C2043ND05,371517.0,7750376.0,213.49,56.8,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043ND08,371507.0,7750355.0,230.37,75.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043ND31,371509.0,7750359.0,157.45,51.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043ND38,371517.0,7750376.0,212.61,40.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043NH00,371509.0,7750359.0,157.98,44.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043NI19,371507.0,7750355.0,231.32,73.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043NI30,371509.0,7750359.0,159.27,89.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043SD43,371496.0,7750323.0,192.0,97.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2043SI13,371514.0,7750369.0,214.06,90.2,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2045ND05,371525.0,7750346.0,232.69,43.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
